date, pm25, pm10, o3, no2, so2, co
2024/9/19, 40, 46, 50, , 3, 6
2024/9/20, 54, 51, 75, , 3, 8
2024/9/21, 76, 51, 56, , 4, 8
2024/9/22, 86, 40, 50, , 4, 5
2024/9/23, 67, 44, 26, , 4, 6
2024/9/24, 54, 54, 79, , 5, 6
2024/9/25, 70, 50, 61, , 5, 5
2024/9/26, 88, 57, 61, , 4, 3
2024/9/27, 79, 49, 59, , 6, 4
2024/9/28, 78, 30, 43, , 4, 3
2024/9/29, 64, 28, 60, , 3, 2
2024/9/30, 61, 27, 56, , 4, 2
2024/10/1, 58, 38, 48, , 4, 2
2024/4/2, 40, 12, 12, , 3, 3
2024/4/3, 33, , 26, , 4, 4
2024/4/4, 50, , 31, , 3, 4
2024/4/5, 56, , 36, , 4, 6
2024/4/6, 52, , 39, , 5, 5
2024/4/7, 60, , 40, , 6, 1
2024/4/8, 41, 49, 41, , 5, 4
2024/4/9, 58, 33, 40, , 4, 3
2024/4/10, 65, 46, 45, , 6, 4
2024/4/11, 74, 43, 52, , 6, 5
2024/4/12, 68, 44, 57, , 7, 6
2024/4/13, 79, 43, 64, , 5, 4
2024/4/14, 77, 40, 57, , 5, 2
2024/4/15, 69, 32, 24, , 3, 
2024/4/16, 39, 42, , , , 
2024/4/18, 19, 39, 16, , 7, 8
2024/4/19, 74, 21, 1, , 10, 39
2024/4/21, 54, , 30, , 3, 4
2024/4/22, 30, 41, 11, , 4, 6
2024/4/23, 27, 39, 29, , 6, 10
2024/4/24, 29, 31, 8, , 5, 8
2024/4/25, 36, 30, 10, , 4, 9
2024/4/26, 50, 35, 17, , 5, 12
2024/4/27, 55, 22, 23, , 3, 7
2024/4/28, 43, 17, 38, , 3, 5
2024/4/29, 28, 22, 17, , 3, 8
2024/4/30, 37, 27, 27, , 5, 7
2024/5/1, 45, 32, 35, , 5, 3
2024/5/2, 56, 29, 33, , 5, 2
2024/5/3, 54, 16, 26, , 3, 
2024/5/4, 32, 20, 28, , 3, 
2024/5/5, 35, 76, 10, , 6, 8
2024/5/6, 46, 27, 30, , 6, 5
2024/5/7, 51, 21, 26, , 4, 3
2024/5/8, 49, 27, 10, , 5, 8
2024/5/9, 59, 36, 21, , 9, 8
2024/5/10, 80, 30, 219, , 6, 3
2024/5/11, 49, 35, 28, , 7, 10
2024/5/12, 67, 37, 49, , 6, 5
2024/5/13, 53, 39, 33, , 6, 5
2024/5/14, 68, 25, 27, , 6, 2
2024/5/15, 56, 26, 32, , 5, 3
2024/5/16, 54, 19, 30, , 2, 2
2024/5/17, 43, 27, 31, , 4, 3
2024/5/18, 47, 25, 32, , 3, 2
2024/5/19, 44, 23, 29, , 3, 2
2024/5/20, 34, 26, 29, , 4, 2
2024/5/21, 37, 28, 32, , 3, 3
2024/5/22, 44, 31, 32, , 2, 3
2024/5/23, 53, 21, 26, , 1, 1
2024/5/24, 35, 24, 36, , 2, 2
2024/5/25, 38, 26, 33, , 3, 3
2024/5/26, 45, 28, 39, , 2, 2
2024/5/27, 42, 31, 35, , 3, 3
2024/5/28, 50, 24, 26, , 2, 2
2024/5/29, 41, 20, 18, , 2, 2
2024/5/30, 45, 25, 37, , 2, 3
2024/5/31, 46, 27, 27, , 2, 3
2024/6/1, 36, 29, 35, , 2, 2
2024/6/2, 33, 31, 46, , 3, 2
2024/6/3, 34, 29, 29, , 3, 3
2024/6/4, 45, 27, 21, , 2, 1
2024/6/5, 30, 19, 24, , 1, 2
2024/6/6, 37, 17, 27, , 1, 2
2024/6/7, 37, 33, 29, , 2, 3
2024/6/8, 52, 32, 32, , 1, 3
2024/6/9, 47, 31, 37, , 1, 1
2024/6/10, 44, 25, 33, , 1, 1
2024/6/11, 41, 32, 35, , 1, 1
2024/6/12, 45, 38, 35, , 2, 4
2024/6/13, 56, 24, 27, , 2, 2
2024/6/14, 43, 23, 27, , 2, 1
2024/6/15, 40, 19, 28, , 1, 2
2024/6/16, 39, 18, 35, , 1, 3
2024/6/17, 36, 29, 39, , 3, 3
2024/6/18, 39, 32, 61, , 4, 4
2024/6/19, 58, 30, 39, , 3, 4
2024/6/20, 55, 34, 35, , 3, 4
2024/6/21, 66, 20, 30, , 1, 4
2024/6/22, 45, 34, 45, , 2, 3
2024/6/23, 52, 31, 55, , 1, 1
2024/6/24, 50, 36, 52, , 1, 2
2024/6/25, 45, 32, 39, , 2, 2
2024/6/26, 40, 30, 42, , 2, 1
2024/6/27, 51, 27, 43, , 1, 1
2024/6/28, 46, 29, 40, , 1, 1
2024/6/29, 47, 32, 43, , 3, 2
2024/6/30, 48, 27, 37, , 2, 1
2024/7/1, 46, 34, 45, , 1, 3
2024/1/2, 78, 28, 29, , 2, 5
2024/1/3, 54, 16, 21, , 2, 3
2024/1/4, 40, 14, 28, , 2, 3
2024/1/5, 33, 17, 41, , 3, 4
2024/1/6, 42, 27, 55, , 3, 5
2024/1/7, 57, 28, 42, , 2, 5
2024/1/8, 44, 35, 38, , 3, 6
2024/1/9, 57, 29, 38, , 2, 4
2024/1/10, 57, 22, 40, , 2, 1
2024/1/11, 40, 24, 41, , 2, 1
2024/1/12, 45, 17, 37, , 1, 1
2024/1/13, 34, 17, 44, , 4, 3
2024/1/14, 38, 36, 49, , 4, 3
2024/1/15, 66, 32, 46, , 4, 4
2024/1/16, 54, 26, 34, , 3, 2
2024/1/17, 40, 20, 36, , 2, 2
2024/1/18, 36, 34, 40, , 2, 3
2024/1/19, 40, 31, 42, , 2, 2
2024/1/20, 37, 32, 38, , 3, 3
2024/1/21, 44, 34, 36, , 2, 1
2024/1/22, 36, 37, , , , 
2024/1/24, 44, 42, 63, , 4, 3
2024/1/25, 47, 45, 58, , 4, 4
2024/1/26, 57, 46, 60, , 4, 4
2024/1/27, 64, 135, 52, , 2, 3
2024/1/28, 61, 44, 55, , 3, 2
2024/1/29, 66, 43, 58, , 3, 3
2024/1/30, 70, 43, 58, , 4, 3
2024/1/31, 65, 40, 59, , 2, 2
2024/2/1, 63, 37, 48, , 2, 2
2024/2/2, 56, 27, 34, , 2, 1
2024/2/3, 41, 26, 46, , 2, 2
2024/2/4, 37, 13, 51, , 2, 1
2024/2/5, 28, 13, 26, , 2, 4
2024/2/6, 40, 26, 46, , 3, 4
2024/2/7, 48, 30, 18, , 4, 6
2024/2/8, 61, 31, 43, , 5, 6
2024/2/9, 87, 27, 37, , 3, 3
2024/2/10, 50, 24, 38, , 3, 2
2024/2/11, 44, 18, 41, , 2, 2
2024/2/12, 40, 14, 37, , 2, 1
2024/2/13, 32, 20, 46, , 2, 2
2024/2/14, 42, 29, 40, , 3, 4
2024/2/15, 48, 32, 37, , 2, 2
2024/2/16, 34, 43, 37, , 4, 4
2024/2/17, 52, 25, 33, , 3, 3
2024/2/18, 40, 30, 43, , 2, 1
2024/2/19, 45, 30, 33, , 3, 3
2024/2/20, 50, 12, 15, , 2, 3
2024/2/21, 35, 17, 21, , 3, 4
2024/2/22, 46, 25, 33, , 3, 4
2024/2/23, 58, 19, 31, , 3, 2
2024/2/24, 43, 19, 33, , 3, 1
2024/2/25, 36, 20, 40, , 3, 1
2024/2/26, 41, 15, 38, , 2, 2
2024/2/27, 40, 30, 52, , 4, 7
2024/2/28, 53, 37, 59, , 5, 5
2024/2/29, 72, 21, 57, , 3, 2
2024/3/1, 51, 23, 47, , 2, 1
2024/3/2, 40, 12, 35, , 2, 2
2024/3/3, 30, 11, 38, , 2, 1
2024/3/4, 33, 20, 42, , 2, 2
2024/3/5, 49, 20, 51, , 3, 3
2024/3/6, 50, 33, 53, , 3, 2
2024/3/7, 53, 32, 61, , 4, 3
2024/3/8, 65, 33, 48, , 4, 5
2024/3/9, 63, 31, 40, , 4, 4
2024/3/10, 50, 27, 43, , 3, 2
2024/3/11, 40, 36, 41, , 4, 3
2024/3/12, 48, 37, 41, , 4, 3
2024/3/13, 56, 36, 45, , 3, 2
2024/3/14, 51, 33, 36, , 4, 4
2024/3/15, 51, 31, 34, , 3, 3
2024/3/16, 55, 36, 42, , 4, 3
2024/3/17, 45, 43, 44, , 6, 3
2024/3/18, 56, 46, 42, , 6, 5
2024/3/19, 65, 44, 31, , 6, 11
2024/3/20, 88, 37, 33, , 4, 1
