date, pm25, pm10, o3, no2, so2, co,ICA,nDia
2024/11/16, 101, , 45, , 16, 8,42.50,-210
2024/11/17, 106, , 39, , 5, 2,38.00,-211
2024/11/18, 41, , 22, , 12, 4,19.75,-212
2024/11/19, 63, , 35, , 17, 3,29.50,-213
2024/11/20, 85, , 35, , 8, 6,33.50,-214
2024/11/21, 74, , 16, , 12, 7,27.25,-215
2024/11/22, 55, , 29, , 11, 6,25.25,-216
2024/11/23, 82, , 43, , 11, 6,35.50,-217
2024/11/24, 80, , 45, , 11, 3,34.75,-218
2024/11/25, 58, , 39, , 8, 5,27.50,-219
2024/11/26, 65, , 38, , 8, 5,29.00,-220
2024/11/27, 67, , 41, , 10, 4,30.50,-221
2024/11/28, 60, , 33, , 10, 7,27.50,-222
2024/11/29, 70, , 34, , 9, 6,29.75,-223
2024/11/30, 58, , 40, , 8, 5,27.75,-224
2024/12/1, 41, , 53, , 9, 4,26.75,-225
2024/12/2, 31, , 36, , 6, 6,19.75,-226
2024/12/3, 65, , 40, , 8, 7,30.00,-227
2024/12/4, 57, , 38, , 7, 8,27.50,-228
2024/12/5, 43, , 39, , 7, 6,23.75,-229
2024/12/6, 46, , 30, , 8, 7,22.75,-230
2024/12/7, 55, , 25, , 9, 7,24.00,-231
2024/12/8, 57, , 43, , 9, 5,28.50,-232
2024/12/9, 41, , 36, , 9, 7,23.25,-233
2024/12/10, 51, , 31, , 10, 7,24.75,-234
2024/12/11, 50, , 27, , 7, 5,22.25,-235
2024/12/12, 45, , 28, , 8, 5,21.50,-236
2024/12/13, 51, , 15, , 7, 4,19.25,-237
2024/12/14, 40, , 18, , 9, 6,18.25,-238
2024/12/15, 54, , 35, , 7, 3,24.75,-239
2024/12/16, 36, , 33, , 10, 6,21.25,-240
2024/12/17, 59, , 37, , 7, 5,27.00,-241
2024/12/18, 54, , 31, , 8, 5,24.50,-242
2024/12/19, 49, , 34, , 8, 5,24.00,-243
2024/12/20, 57, , 33, , 6, 3,24.75,-244
2024/12/21, 53, , 37, , 9, 4,25.75,-245
2024/12/22, 37, , 44, , 5, 5,22.75,-246
2024/12/23, 36, , 30, , 10, 9,21.25,-247
2024/12/24, 56, , 27, , 12, 9,26.00,-248
2024/12/25, 64, , 41, , 11, 8,31.00,-249
2024/12/26, 64, , 34, , 11, 5,28.50,-250
2024/12/27, 48, , 28, , 9, 6,22.75,-251
2024/12/28, 48, , 31, , 7, 6,23.00,-252
2024/12/29, 46, , 29, , 6, 6,21.75,-253
2024/12/30, 36, , , , , ,36.00,-254
2024/7/2, 45, , 21, , 3, 4,18.25,-255
2024/7/3, 32, , 21, , 4, 5,15.50,-256
2024/7/4, 49, , 24, , 3, 4,20.00,-257
2024/7/5, 52, , 19, , 4, 6,20.25,-258
2024/7/6, 47, , 25, , 4, 5,20.25,-259
2024/7/7, 39, , 30, , 3, 4,19.00,-260
2024/7/8, 25, , 36, , 3, 4,17.00,-261
2024/7/9, 27, , 29, , 4, 5,16.25,-262
2024/7/10, 40, , 30, , 4, 7,20.25,-263
2024/7/11, 44, , 34, , 4, 6,22.00,-264
2024/7/12, 48, , 32, , 3, 6,22.25,-265
2024/7/13, 45, , 31, , 3, 5,21.00,-266
2024/7/14, 27, , 28, , 3, 3,15.25,-267
2024/7/15, 23, , 35, , 3, 4,16.25,-268
2024/7/16, 25, , 46, , 3, 4,19.50,-269
2024/7/17, 27, , 37, , 2, 4,17.50,-270
2024/7/18, 26, , 26, , 3, 4,14.75,-271
2024/7/19, 27, , 24, , 3, 4,14.50,-272
2024/7/20, 29, , 18, , 3, 5,13.75,-273
2024/7/21, 19, , 29, , 3, 3,13.50,-274
2024/7/22, 25, , 26, , 3, 4,14.50,-275
2024/7/23, 25, , 26, , 3, 4,14.50,-276
2024/7/24, 29, , 35, , 3, 4,17.75,-277
2024/7/25, 35, , 34, , 4, 7,20.00,-278
2024/7/26, 50, , 23, , 5, 6,21.00,-279
2024/7/27, 48, , 25, , 4, 3,20.00,-280
2024/7/28, 37, , 34, , 3, 4,19.50,-281
2024/7/29, 30, , 27, , 3, 4,16.00,-282
2024/7/30, 32, , 31, , 4, 4,17.75,-283
2024/7/31, 31, , 37, , 4, 4,19.00,-284
2024/8/1, 30, , 33, , 4, 4,17.75,-285
