date, pm25, o3, so2, co
2021/12/6, 54, 33, 5, 7
2021/12/7, 54, 32, 10, 8
2021/12/8, 54, 23, 6, 8
2021/12/9, 75, 28, 5, 7
2021/12/10, 62, 27, 4, 8
2021/12/11, 67, 23, 5, 9
2021/12/12, 46, 15, 3, 7
2021/12/13, 40, 15, 4, 7
2021/12/14, 51, 12, 5, 7
2021/12/15, 52, 21, 6, 9
2021/12/16, 64, 18, 5, 8
2021/12/17, 63, 10, 4, 10
2021/12/18, 54, 14, 3, 9
2021/12/19, 65, 21, 4, 6
2021/12/20, 53, 13, 2, 7
2021/12/21, 55, 12, 1, 7
2021/12/22, 50, 22, 2, 7
2021/12/23, 53, 43, 1, 6
2021/12/24, 60, 37, 1, 7
2021/12/25, 63, 35, 1, 6
2021/12/26, 49, 33, 4, 7
2021/12/27, 70, 37, 3, 7
2021/12/28, 76, 40, 4, 9
2021/12/29, 79, 22, 2, 7
2021/12/30, 66, 29, 6, 8
2021/12/31, 74, 40, 3, 7
2022/1/1, 67, 44, 4, 6
2022/1/2, 90, 31, 3, 6
2022/1/3, 56, 38, 8, 7
2021/7/2, 44, 30, 7, 9
2021/7/3, 56, 30, 10, 8
2021/7/4, 52, 41, 4, 5
2021/7/5, 38, 52, 6, 6
2021/7/6, 57, 20, 7, 4
2021/7/7, 36, , , 
2021/8/6, 59, 33, 6, 7
2021/8/7, 57, 31, 6, 8
2021/8/8, 58, 44, 8, 7
2021/8/9, 64, 36, 7, 9
2021/8/10, 74, 32, 6, 7
2021/8/11, 45, 36, 5, 6
2021/8/12, 51, 29, 8, 7
2021/8/13, 65, 35, 6, 6
2021/8/14, 63, 39, 7, 11
2021/8/15, 80, 38, 4, 7
2021/8/16, 67, 33, 6, 8
2021/8/17, 69, 31, 7, 9
2021/8/18, 64, 36, 6, 7
2021/8/19, 63, 42, 6, 7
2021/8/20, 57, 46, 10, 8
2021/8/21, 71, 41, 10, 11
2021/8/22, 58, 37, 6, 7
2021/8/23, 46, 31, 6, 7
2021/8/24, 62, 33, 12, 9
2021/8/25, 71, 29, 7, 8
2021/8/26, 64, 36, 6, 8
2021/8/27, 64, 41, 9, 8
2021/8/28, 78, 34, 9, 9
2021/8/29, 64, 35, 9, 10
2021/8/30, 59, 29, 8, 9
2021/8/31, 60, 47, 11, 13
2021/9/1, 74, 45, 9, 6
2021/9/2, 46, 38, 7, 5
2021/9/3, 51, 39, 12, 9
2021/9/4, 63, 43, 9, 7
2021/9/5, 51, 45, 5, 6
2021/9/6, 47, 26, 9, 9
2021/9/7, 50, 45, 11, 9
2021/9/8, 61, 36, 18, 11
2021/9/9, 88, 42, 12, 12
2021/9/10, 65, 50, 9, 7
2021/9/11, 70, 36, 7, 8
2021/9/12, 67, 34, 6, 8
2021/9/13, 59, 45, 9, 8
2021/9/14, 62, 50, 19, 10
2021/9/15, 67, 57, 9, 6
2021/9/16, 59, 59, 7, 6
2021/9/17, 49, 71, 6, 6
2021/9/18, 47, 61, 7, 8
2021/9/19, 53, 61, 8, 9
2021/9/20, 59, 46, 7, 9
2021/9/21, 64, 39, 8, 10
2021/9/22, 67, 36, 12, 10
2021/9/23, 66, 50, 6, 6
2021/9/24, 68, 50, 6, 7
2021/9/25, 51, 74, 4, 6
2021/9/26, 29, 68, 4, 6
2021/9/27, 32, 68, 7, 7
2021/9/28, 48, 51, 7, 7
2021/9/29, 55, 39, 4, 6
2021/9/30, 66, 34, 2, 8
2021/10/1, 59, 38, 12, 12
2021/4/2, 57, 29, 3, 6
2021/4/3, 52, 22, 2, 9
2021/4/4, 55, 21, 4, 9
2021/4/5, 51, 31, 5, 9
2021/4/6, 65, 27, 4, 8
2021/4/7, 56, 31, 7, 9
2021/4/8, 71, 30, 2, 6
2021/4/9, 51, 25, 3, 8
2021/4/10, 65, 28, 5, 9
2021/4/11, 72, 35, 5, 8
2021/4/12, 58, 11, 3, 6
2021/4/13, 36, 25, 4, 5
2021/4/14, 53, 27, 4, 5
2021/4/15, 42, 23, 4, 7
2021/4/16, 62, 39, 8, 8
2021/4/17, 68, 12, 7, 13
2021/4/18, 72, 38, 13, 9
2021/4/19, 62, 13, 6, 12
2021/4/20, 65, 25, 11, 10
2021/4/21, 66, 28, 7, 10
2021/4/22, 62, 30, 12, 9
2021/4/23, 75, 30, 5, 8
2021/4/24, 58, 50, 3, 4
2021/4/25, 118, 45, 2, 3
2021/4/26, 60, 26, 3, 8
2021/4/27, 54, 16, 8, 13
2021/4/28, 65, 17, 4, 11
2021/4/29, 59, 25, 6, 9
2021/4/30, 64, 14, 3, 10
2021/5/1, 51, 28, 2, 6
2021/5/2, 54, 29, 1, 5
2021/5/3, 50, 16, 6, 12
2021/5/4, 61, 32, 10, 12
2021/5/5, 70, 26, 3, 8
2021/5/6, 54, 24, 3, 7
2021/5/7, 52, 26, 12, 10
2021/5/8, 74, 29, 2, 5
2021/5/9, 45, 22, 2, 4
2021/5/10, 52, 17, 2, 4
2021/5/11, 39, 18, 4, 6
2021/5/12, 42, 13, 10, 10
2021/5/13, 60, 18, 7, 8
2021/5/14, 58, 25, 5, 7
2021/5/15, 67, 27, 2, 5
2021/5/16, 55, 22, , 4
2021/5/17, 43, 14, 4, 8
2021/5/18, 54, 18, 8, 10
2021/5/19, 50, 27, 9, 7
2021/5/20, 59, 29, 7, 7
2021/5/21, 57, 30, 7, 7
2021/5/22, 72, 22, 3, 6
2021/5/23, 43, 24, 2, 5
2021/5/24, 41, 25, 3, 6
2021/5/25, 50, 20, 4, 7
2021/5/26, 63, 24, 4, 5
2021/5/27, 51, 23, 5, 7
2021/5/28, 52, 35, 7, 7
2021/5/29, 62, 31, 3, 9
2021/5/30, 69, 28, 4, 8
2021/5/31, 62, 23, 13, 12
2021/6/1, 80, 20, 10, 12
2021/6/2, 70, 29, 11, 8
2021/6/3, 68, 31, 9, 6
2021/6/4, 48, 27, 8, 7
2021/6/5, 50, 26, 7, 9
2021/6/6, 57, 21, 6, 7
2021/6/7, 53, 14, 5, 7
2021/6/8, 51, 10, 7, 8
2021/6/9, 60, 23, 7, 8
2021/6/10, 65, 32, 9, 8
2021/6/11, 69, 32, 9, 11
2021/6/12, 89, 32, 8, 9
2021/6/13, 61, 21, 5, 8
2021/6/14, 41, 20, 6, 9
2021/6/15, 63, 12, 5, 9
2021/6/16, 64, 26, 10, 9
2021/6/17, 70, 28, 8, 7
2021/6/18, 58, 24, 6, 8
2021/6/19, 58, 12, 5, 7
2021/6/20, 69, , , 
2021/6/22, 39, 32, 10, 7
2021/6/23, 57, 27, 4, 6
2021/6/24, 55, 28, 11, 7
2021/6/25, 57, 37, 4, 6
2021/6/26, 61, 26, 6, 8
