date, pm25, pm10, o3, no2, so2, co
2024/11/18, 61, 14, 22, , 8, 10
2024/11/19, 69, 26, 42, , 16, 10
2024/11/20, 108, 41, 38, , 8, 11
2024/11/21, 92, 26, 19, , 9, 11
2024/11/22, 70, 25, 34, , 13, 11
2024/11/23, 92, 41, 62, , 10, 9
2024/11/24, 80, 26, 64, , 8, 7
2024/11/25, 62, 33, 59, , 7, 9
2024/11/26, 65, 29, 60, , 6, 10
2024/11/27, 75, 28, 56, , 8, 10
2024/11/28, 74, 26, 31, , 8, 12
2024/11/29, 83, 32, 27, , 7, 11
2024/11/30, 71, , 38, , 5, 7
2024/12/1, 42, , 55, , 5, 7
2024/12/2, 41, 58, 33, , 5, 11
2024/12/3, 70, 45, 46, , 4, 9
2024/12/4, 67, 32, 41, , 5, 10
2024/12/5, 45, 26, 41, , 5, 8
2024/12/6, 55, 26, 33, , 6, 8
2024/12/7, 65, 24, 32, , 8, 8
2024/12/8, 72, 22, 39, , 5, 6
2024/12/9, 49, 28, 36, , 6, 7
2024/12/10, 60, 18, 38, , 7, 7
2024/12/11, 63, 16, 33, , 4, 7
2024/12/12, 52, 24, 38, , 6, 8
2024/12/13, 61, 15, 19, , 6, 10
2024/12/14, 49, 20, 23, , 6, 10
2024/12/15, 75, 9, 43, , 5, 8
2024/12/16, 49, 19, 29, , 7, 10
2024/12/17, 69, 31, 43, , 4, 7
2024/12/18, 58, 34, 40, , 5, 7
2024/12/19, 49, 29, 38, , 6, 9
2024/12/20, 65, 28, 38, , 5, 8
2024/12/21, 58, 32, 42, , 6, 7
2024/12/22, 56, 25, 50, , 4, 6
2024/12/23, 38, 23, 35, , 5, 9
2024/12/24, 56, 24, 30, , 7, 9
2024/12/25, 65, 31, 50, , 10, 7
2024/12/26, 68, 17, 38, , 7, 7
2024/12/27, 51, 18, 28, , 7, 8
2024/12/28, 47, 16, 33, , 5, 8
2024/12/29, 50, 11, 40, , 4, 7
2024/12/30, 37, , , , , 
2024/7/2, 55, 30, 26, , 3, 6
2024/7/3, 35, 25, 26, , 5, 9
2024/7/4, 57, 26, 26, , 4, 7
2024/7/5, 61, 23, 22, , 3, 10
2024/7/6, 54, 29, 29, , 4, 9
2024/7/7, 40, 19, 29, , 3, 5
2024/7/8, 26, 28, 33, , 3, 6
2024/7/9, 29, 37, 27, , 4, 7
2024/7/10, 39, 36, 30, , 4, 8
2024/7/11, 42, 33, 26, , 5, 8
2024/7/12, 51, 41, 33, , 5, 6
2024/7/13, 43, 24, 40, , 4, 5
2024/7/14, 26, 19, 46, , 2, 4
2024/7/15, 23, 35, 53, , 3, 5
2024/7/16, 27, 42, 75, , 3, 5
2024/7/17, 33, 34, 59, , 3, 5
2024/7/18, 32, 33, 41, , 4, 6
2024/7/19, 30, 42, 31, , 4, 7
2024/7/20, 41, 28, 22, , 3, 6
2024/7/21, 19, 33, 37, , 2, 5
2024/7/22, 20, 35, 29, , 3, 5
2024/7/23, 28, 41, 34, , 3, 4
2024/7/24, 33, 46, 44, , 5, 5
2024/7/25, 46, 39, 51, , 5, 8
2024/7/26, 50, 41, 32, , 7, 8
2024/7/27, 51, 44, 30, , 3, 5
2024/7/28, 33, 30, 40, , 3, 4
2024/7/29, 31, 35, 31, , 3, 5
2024/7/30, 33, 43, 33, , 3, 5
2024/7/31, 35, 39, 40, , 3, 5
2024/8/1, 33, 34, 38, , 4, 5
2024/8/2, 41, 45, 44, , 5, 8
2024/8/3, 58, 49, 59, , 7, 8
2024/8/4, 66, 40, 44, , 5, 7
2024/8/5, 56, 38, 37, , 5, 8
2024/8/6, 54, 30, 33, , 5, 6
2024/8/7, 57, 36, 40, , 4, 7
2024/8/8, 65, 39, 41, , 5, 6
2024/8/9, 58, 44, 33, , 7, 7
2024/8/10, 57, 28, 43, , 5, 8
2024/8/11, 48, 27, 38, , 7, 6
2024/8/12, 51, 32, 31, , 4, 6
2024/8/13, 45, 33, 40, , 3, 5
2024/8/14, 36, 44, 30, , 4, 7
2024/8/15, 39, 36, 39, , 4, 7
2024/8/16, 42, 36, 42, , 3, 6
2024/8/17, 32, 32, 43, , 3, 5
2024/8/18, 35, 36, 58, , 3, 4
2024/8/19, 37, 31, 52, , 4, 4
2024/8/20, 36, 42, 34, , 4, 6
2024/8/21, 33, 40, 36, , 5, 6
2024/8/22, 48, 43, 30, , 7, 11
2024/8/23, 60, 42, 14, , 4, 10
2024/8/24, 68, 30, 37, , 5, 7
2024/8/25, 47, 33, 48, , 4, 7
2024/8/26, 52, 37, 58, , 5, 7
2024/8/27, 49, 43, 53, , 4, 6
2024/8/28, 37, 43, 65, , 4, 4
2024/8/29, 46, 42, 80, , 4, 4
2024/8/30, 54, 53, 77, , 4, 5
2024/8/31, 77, 50, 135, , 4, 5
2024/9/1, 75, 46, 119, , 3, 5
2024/9/2, 74, 46, 102, , 4, 7
2024/9/3, 80, 50, 93, , 4, 7
2024/9/4, 66, 58, 74, , 6, 9
2024/9/5, 95, 60, 72, , 5, 7
2024/9/6, 56, 57, 75, , 4, 7
2024/9/7, 65, 45, 99, , 5, 7
2024/9/8, 67, 45, 88, , 3, 7
2024/9/9, 55, 39, 90, , 4, 8
2024/9/10, 49, 45, 104, , 4, 5
2024/9/11, 47, 56, 82, , 6, 7
2024/9/12, 62, 51, 84, , 4, 6
2024/9/13, 49, 55, 93, , 4, 6
2024/9/14, 90, 53, 100, , 4, 4
2024/9/15, 42, 48, 77, , 4, 4
2024/9/16, 39, 42, 59, , 4, 6
2024/9/17, 39, 45, 98, , 4, 6
2024/9/18, 37, 44, 93, , 4, 7
2024/9/19, 51, 46, 119, , 4, 8
2024/9/20, 53, 51, 111, , 5, 10
2024/9/21, 79, 51, 95, , 6, 12
2024/9/22, 77, 40, 83, , 6, 9
2024/9/23, 70, 44, 100, , 7, 8
2024/9/24, 46, 54, 115, , 5, 11
2024/9/25, 89, 50, 107, , 5, 11
2024/9/26, 110, 57, 99, , 7, 10
2024/9/27, 89, 49, 82, , 14, 12
2024/9/28, 101, 30, 42, , 14, 12
2024/9/29, 86, 28, 84, , 6, 10
2024/9/30, 67, 27, 54, , 10, 16
2024/10/1, 77, 38, 60, , 17, 15
2024/4/2, 52, 12, 11, , 4, 9
2024/4/3, 39, , 21, , 9, 12
2024/4/4, 72, , 20, , 5, 12
2024/4/5, 74, , 30, , 3, 11
2024/4/6, 57, , 32, , 4, 8
2024/4/7, 58, , 36, , 4, 6
2024/4/8, 40, 49, 34, , 4, 8
2024/4/9, 50, 33, 34, , 3, 7
2024/4/10, 61, 46, 34, , 4, 8
2024/4/11, 71, 43, 45, , 6, 9
2024/4/12, 77, 44, 50, , 4, 8
2024/4/13, 68, 43, 61, , 7, 9
2024/4/14, 95, 40, 60, , 5, 6
2024/4/15, 77, 32, 43, , 7, 7
2024/4/16, 79, 42, 47, , 8, 7
2024/4/17, 87, 50, 26, , 4, 8
2024/4/18, 86, 39, 35, , 7, 11
2024/4/19, 73, 21, 7, , 10, 15
2024/4/20, 69, , 38, , 9, 14
2024/4/21, 85, , 41, , 4, 7
2024/4/22, 35, 41, 20, , 7, 11
2024/4/23, 54, 39, 29, , 7, 13
2024/4/24, 77, 31, 41, , 6, 10
2024/4/25, 62, 30, 27, , 6, 13
2024/4/26, 64, 35, 31, , 6, 11
2024/4/27, 69, 22, 32, , 5, 9
2024/4/28, 64, 17, 55, , 4, 8
2024/4/29, 50, 22, 29, , 4, 10
2024/4/30, 51, 27, 30, , 6, 12
2024/5/1, 76, 32, 32, , 6, 8
2024/5/2, 56, 29, 31, , 8, 9
2024/5/3, 58, 16, 26, , 3, 9
2024/5/4, 35, 20, 26, , 4, 10
2024/5/5, 45, 76, 12, , 6, 14
2024/5/6, 45, 27, 20, , 8, 15
2024/5/7, 60, 21, 22, , 5, 10
2024/5/8, 61, 27, 10, , 5, 10
2024/5/9, 53, 36, 17, , 9, 14
2024/5/10, 82, 30, 34, , 3, 5
2024/5/11, 40, 35, 18, , 9, 10
2024/5/12, 62, 37, 43, , 4, 8
2024/5/13, 58, 39, 22, , 6, 11
2024/5/14, 70, 25, 13, , 10, 11
2024/5/15, 82, 26, 21, , 11, 10
2024/5/16, 69, 19, 24, , 5, 9
2024/5/17, 51, 27, 24, , 8, 8
2024/5/18, 79, 25, 24, , 4, 2
2024/5/19, 45, 23, 24, , 4, 1
2024/5/20, 30, 26, 21, , 4, 3
2024/5/21, 33, 28, 24, , 4, 6
2024/5/22, 35, 31, 20, , 5, 9
2024/5/23, 64, 21, 20, , 3, 7
2024/5/24, 46, 24, 33, , 4, 
2024/5/25, 47, 26, 27, , 5, 
2024/5/26, 50, 28, 37, , 4, 
2024/5/27, 51, 31, 18, , 3, 7
2024/5/28, 47, 24, 15, , 2, 8
2024/5/29, 58, 20, 12, , 2, 9
2024/5/30, 68, 25, 30, , 3, 4
2024/5/31, 58, 27, 21, , 3, 2
2024/6/1, 40, 29, 31, , 2, 1
2024/6/2, 51, 31, 43, , 3, 2
2024/6/3, 42, 29, 25, , 2, 4
2024/6/4, 45, 27, 21, , 4, 8
2024/6/5, 48, 19, 21, , 3, 10
2024/6/6, 45, 17, 19, , 3, 11
2024/6/7, 53, 33, 24, , 3, 12
2024/6/8, 48, 32, 26, , 4, 12
2024/6/9, 54, 31, 37, , 3, 8
2024/6/10, 54, 25, 29, , 3, 8
2024/6/11, 48, 32, 27, , 3, 8
2024/6/12, 61, 38, 26, , 4, 11
2024/6/13, 59, 24, 20, , 4, 8
2024/6/14, 46, 23, 24, , 4, 9
2024/6/15, 39, 19, 19, , 2, 9
2024/6/16, 40, 18, 30, , 2, 6
2024/6/17, 27, 29, 31, , 4, 5
2024/6/18, 33, 32, 47, , 6, 8
2024/6/19, 59, 30, 28, , 6, 8
2024/6/20, 67, 34, 21, , 5, 10
2024/6/21, 69, 20, 20, , 5, 10
2024/6/22, 57, 34, 34, , 5, 9
2024/6/23, 66, 31, 51, , 3, 7
2024/6/24, 54, 36, 45, , 3, 5
2024/6/25, 37, 32, 30, , 3, 8
2024/6/26, 53, 30, 31, , 3, 8
2024/6/27, 58, 27, 32, , 3, 9
2024/6/28, 68, 29, 39, , 3, 8
2024/6/29, 63, 32, 42, , 5, 8
2024/6/30, 57, 27, 31, , 3, 7
2024/7/1, 49, 34, 38, , 3, 8
2024/1/2, 125, 28, 18, , 3, 12
2024/1/3, 62, 16, 10, , 5, 12
2024/1/4, 54, 14, 17, , 3, 8
2024/1/5, 43, 17, 31, , 3, 7
2024/1/6, 49, 27, 39, , 7, 7
2024/1/7, 64, 28, 37, , 1, 4
2024/1/8, 34, 35, 29, , 3, 9
2024/1/9, 55, 29, 25, , 6, 9
2024/1/10, 65, 22, 29, , 1, 6
2024/1/11, 43, 24, 33, , 4, 5
2024/1/12, 54, 17, 22, , 3, 6
2024/1/13, 46, 17, 49, , 7, 4
2024/1/14, 44, 36, 43, , 5, 4
2024/1/15, 62, 32, 10, , 3, 9
2024/1/16, 42, 26, , , , 
2024/1/19, 37, 31, 31, , 2, 9
2024/1/20, 37, 32, 36, , 2, 11
2024/1/21, 39, 34, 33, , 2, 10
2024/1/22, 33, 37, 34, , 1, 10
2024/1/23, 29, 40, 38, , 2, 8
2024/1/24, 35, 42, 56, , 2, 4
2024/1/25, 37, 45, 68, , 4, 6
2024/1/26, 51, 46, 61, , 4, 7
2024/1/27, 66, 135, 64, , 2, 5
2024/1/28, 63, 44, 67, , 4, 4
2024/1/29, 66, 43, 58, , 3, 6
2024/1/30, 70, 43, 54, , 4, 6
2024/1/31, 65, 40, 54, , 6, 7
2024/2/1, 76, 37, 41, , 3, 8
2024/2/2, 67, 27, 25, , 4, 7
2024/2/3, 56, 26, 37, , 3, 5
2024/2/4, 45, 13, 52, , 3, 4
2024/2/5, 36, 13, 24, , 2, 8
2024/2/6, 44, 26, 38, , 3, 8
2024/2/7, 53, 30, 25, , 5, 10
2024/2/8, 60, 31, 39, , 4, 8
2024/2/9, 55, 27, 33, , 3, 7
2024/2/10, 52, 24, 34, , 3, 7
2024/2/11, 41, 18, 42, , 1, 6
2024/2/12, 36, 14, 38, , 1, 5
2024/2/13, 35, 20, 46, , 1, 5
2024/2/14, 41, 29, 35, , 2, 6
2024/2/15, 51, 32, 32, , 1, 3
2024/2/16, 41, 43, 32, , 3, 8
2024/2/17, 40, 25, 32, , 2, 2
2024/2/18, 32, 30, 47, , 2, 3
2024/2/19, 46, 30, 30, , 2, 5
2024/2/20, 54, 12, 10, , 3, 9
2024/2/21, 43, 17, 12, , 3, 10
2024/2/22, 53, 25, 25, , 2, 10
2024/2/23, 58, 19, 29, , 3, 9
2024/2/24, 49, 19, 31, , 6, 8
2024/2/25, 53, 20, 41, , 2, 6
2024/2/26, 51, 15, 28, , 2, 9
2024/2/27, 51, 30, 42, , 4, 11
2024/2/28, 74, 37, 60, , 5, 10
2024/2/29, 83, 21, 57, , 5, 6
2024/3/1, 69, 23, 52, , 2, 5
2024/3/2, 49, 12, 30, , 1, 6
2024/3/3, 39, 11, 38, , 2, 5
2024/3/4, 35, 20, 22, , 4, 8
2024/3/5, 50, 20, 57, , 3, 11
2024/3/6, 60, 33, , , 3, 10
2024/3/7, 71, 32, 26, , 3, 11
2024/3/8, 65, 33, 38, , 4, 11
2024/3/9, 62, 31, 42, , 3, 8
2024/3/10, 41, 27, 41, , 2, 6
2024/3/11, 37, 36, 35, , 3, 6
2024/3/12, 43, 37, 31, , 4, 7
2024/3/13, 54, 36, 38, , 4, 6
2024/3/14, 54, 33, 35, , 3, 7
2024/3/15, 42, 31, 29, , 4, 8
2024/3/16, 55, 36, 45, , 3, 5
2024/3/17, 43, 43, 47, , 2, 3
2024/3/18, 48, 46, 45, , 3, 4
2024/3/19, 53, 44, 30, , 6, 10
2024/3/20, 75, 37, 42, , 3, 5
2024/3/21, 71, 27, 49, , 2, 9
2024/3/22, 58, 30, 23, , 5, 14
2024/3/23, 69, 35, 31, , 10, 13
2024/3/24, 76, 36, 50, , 4, 11
2024/3/25, 72, 25, 48, , 6, 11
2024/3/26, 68, 23, 22, , 5, 11
2024/3/27, 59, 24, 20, , 5, 11
2024/3/28, 61, 33, 28, , 7, 11
2024/3/29, 82, 22, 29, , 12, 8
2024/3/30, 69, 27, 40, , 4, 7
2024/3/31, 53, 18, 37, , 3, 7
2024/4/1, 55, 16, 26, , 4, 10
2023/10/2, 38, 44, 48, , 3, 7
2023/10/3, 61, 34, 43, , 4, 7
2023/10/4, 63, 45, 54, , 7, 6
2023/10/5, 78, 30, 2, , 3, 8
2023/10/6, 61, , , , , 
2023/10/9, 65, 35, 53, , 2, 7
2023/10/10, 47, 41, 34, , 5, 10
2023/10/11, 58, 35, 44, , 4, 9
2023/10/12, 53, 43, 37, , 4, 12
2023/10/13, 59, 40, 45, , 3, 10
2023/10/14, 65, 4, 35, , 3, 10
2023/10/15, 39, 25, 47, , 4, 9
2023/10/16, 49, 25, 43, , 10, 9
2023/10/17, 48, 31, 50, , 6, 10
2023/10/18, 59, 31, 39, , 6, 7
2023/10/19, 49, 34, 46, , 3, 5
2023/10/20, 30, 28, 39, , 4, 8
2023/10/21, 54, 29, 35, , 8, 9
2023/10/22, 78, 25, 56, , 9, 7
2023/10/23, 59, 32, 40, , 6, 10
2023/10/24, 62, 20, 40, , 3, 9
2023/10/25, 57, 19, 26, , 6, 9
2023/10/26, 58, 12, 21, , 3, 10
2023/10/27, 43, 13, 23, , 2, 10
2023/10/28, 44, 8, 16, , 2, 10
2023/10/29, 35, 14, 31, , 2, 10
2023/10/30, 39, 19, 25, , 5, 10
2023/10/31, 38, 18, 22, , 3, 9
2023/11/1, 26, 22, 18, , 5, 9
2023/11/2, 48, 24, 35, , 3, 7
2023/11/3, 48, 24, 42, , 3, 7
2023/11/4, 50, 24, 37, , 9, 7
2023/11/5, 50, 27, 43, , 5, 8
2023/11/6, 56, 38, 28, , 7, 10
2023/11/7, 54, 31, 35, , 5, 7
2023/11/8, 34, 33, 44, , 6, 6
2023/11/9, 35, 32, 41, , 5, 7
2023/11/10, 33, 36, 40, , 3, 7
2023/11/11, 39, 31, 40, , 3, 7
2023/11/12, 45, 34, 40, , 6, 6
2023/11/13, 54, 30, 35, , 3, 8
2023/11/14, 53, 38, 43, , 4, 8
2023/11/15, 58, 18, 41, , 4, 5
2023/11/16, 44, 30, 46, , 4, 6
2023/11/17, 52, 41, 45, , 6, 8
2023/11/18, 74, 30, 41, , 12, 5
2023/11/19, 63, 30, 38, , 4, 6
2023/11/20, 51, 22, 23, , 9, 8
2023/11/21, 59, 17, 24, , 4, 9
2023/11/22, 52, 9, 36, , 1, 9
2023/11/23, 39, 15, 21, , 6, 11
