date, pm25, o3, so2, co,ICA,nDia
2022/3/22, 58, 39, 11, 12,30.00,-209
2022/3/23, 79, 31, 6, 9,31.25,-210
2022/3/24, 67, 25, 4, 9,26.25,-211
2022/3/25, 61, 26, 9, 11,26.75,-212
2022/3/26, 80, 19, 5, 11,28.75,-213
2022/3/27, 63, 24, 6, 12,26.25,-214
2022/3/28, 77, 29, 8, 12,31.50,-215
2022/3/29, 71, 8, 2, 7,22.00,-216
2022/3/30, 51, 22, 9, 11,23.25,-217
2022/3/31, 73, 39, 17, 12,35.25,-218
2022/4/1, 85, 20, 6, 8,29.75,-219
2021/10/2, 78, 47, 8, 11,36.00,-220
2021/10/3, 81, 46, 6, 9,35.50,-221
2021/10/4, 111, 33, 7, 9,40.00,-222
2021/10/5, 89, 28, 7, 8,33.00,-223
2021/10/6, 75, 27, 11, 8,30.25,-224
2021/10/7, 73, 33, 6, 8,30.00,-225
2021/10/8, 58, 42, 8, 9,29.25,-226
2021/10/9, 69, 40, 4, 7,30.00,-227
2021/10/10, 59, 32, 5, 9,26.25,-228
2021/10/11, 60, 46, 7, 12,31.25,-229
2021/10/12, 71, 46, 9, 10,34.00,-230
2021/10/13, 64, 47, 6, 9,31.50,-231
2021/10/14, 65, 37, 7, 10,29.75,-232
2021/10/15, 73, 38, 11, 10,33.00,-233
2021/10/16, 79, 38, 6, 10,33.25,-234
2021/10/17, 65, 35, 5, 9,28.50,-235
2021/10/18, 64, 41, 11, 11,31.75,-236
2021/10/19, 75, 40, 7, 9,32.75,-237
2021/10/20, 81, 39, 8, 8,34.00,-238
2021/10/21, 70, 32, 7, 11,30.00,-239
2021/10/22, 63, 33, 12, 13,30.25,-240
2021/10/23, 80, 32, 5, 10,31.75,-241
2021/10/24, 54, 72, 11, 13,37.50,-242
2021/10/25, 81, 50, 8, 9,37.00,-243
2021/10/26, 62, 36, 8, 11,29.25,-244
2021/10/27, 76, 32, 8, 10,31.50,-245
2021/10/28, 72, 34, 10, 10,31.50,-246
2021/10/29, 75, 35, 7, 10,31.75,-247
2021/10/30, 68, 38, 6, 7,29.75,-248
2021/10/31, 83, 34, 4, 4,31.25,-249
2021/11/1, 59, 31, 4, 5,24.75,-250
2021/11/2, 52, 35, 4, 2,23.25,-251
2021/11/3, 49, 44, 7, 2,25.50,-252
2021/11/4, 63, 35, 12, 4,28.50,-253
2021/11/5, 73, 13, 19, 7,28.00,-254
2021/11/6, 61, 34, 5, 7,26.75,-255
2021/11/7, 61, 36, 3, 6,26.50,-256
2021/11/8, 68, 34, 3, 5,27.50,-257
2021/11/9, 64, 18, 4, 7,23.25,-258
2021/11/10, 57, 20, 4, 7,22.00,-259
2021/11/11, 60, 41, 17, 9,31.75,-260
